Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ben Mason (25323332),Ben Mason,25323332,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,0
RB,Ricky Person Jr. (25323334),Ricky Person Jr.,25323334,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,0
RB,Spencer Brown (25323470),Spencer Brown,25323470,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,CAR,3.65
RB,Nate McCrary (25323472),Nate McCrary,25323472,RB/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,CAR,0
WR,Demarcus Robinson (25323576),Demarcus Robinson,25323576,WR/FLEX,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,4.13
DST,Ravens  (25324148),Ravens ,25324148,DST,4000,CAR@BAL 11/20/2022 01:00PM ET,BAL,8.11
QB,Matt Barkley (25323190),Matt Barkley,25323190,QB,4000,CLE@BUF 11/20/2022 01:00PM ET,BUF,0
QB,Kellen Mond (25323206),Kellen Mond,25323206,QB,4000,CLE@BUF 11/20/2022 01:00PM ET,CLE,0
RB,Taiwan Jones (25323340),Taiwan Jones,25323340,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,BUF,0
RB,Duke Johnson (25323342),Duke Johnson,25323342,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,BUF,0.4
RB,Reggie Gilliam (25323344),Reggie Gilliam,25323344,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,BUF,2.08
RB,D'Ernest Johnson (25323458),D'Ernest Johnson,25323458,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,CLE,0.77
RB,Jerome Ford (25323460),Jerome Ford,25323460,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,CLE,0
RB,Demetric Felton (25323462),Demetric Felton,25323462,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,CLE,0.18
RB,John Kelly Jr. (25323464),John Kelly Jr.,25323464,RB/FLEX,4000,CLE@BUF 11/20/2022 01:00PM ET,CLE,0
QB,Jake Fromm (25323196),Jake Fromm,25323196,QB,4000,WAS@HOU 11/20/2022 01:00PM ET,WAS,0
QB,Jeff Driskel (25323202),Jeff Driskel,25323202,QB,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,0.75
RB,Jonathan Williams (25323380),Jonathan Williams,25323380,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,WAS,0.9
RB,Jaret Patterson (25323382),Jaret Patterson,25323382,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,WAS,0
RB,Alex Armah (25323384),Alex Armah,25323384,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,WAS,0
RB,Dare Ogunbowale (25323418),Dare Ogunbowale,25323418,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,1.61
RB,Darius Anderson (25323420),Darius Anderson,25323420,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,0
RB,Royce Freeman (25323422),Royce Freeman,25323422,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,0
RB,Troy Hairston (25323424),Troy Hairston,25323424,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,0.47
RB,Gerrid Doaks (25323426),Gerrid Doaks,25323426,RB/FLEX,4000,WAS@HOU 11/20/2022 01:00PM ET,HOU,0
