Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-72493,WR,Trishton,Trishton Jackson,Jackson,0,2,4500,MIN@CIN,MIN,CIN,,,,WR/FLEX
63499-43826,WR,Tommylee,Tommylee Lewis,Lewis,0.480000019,5,4500,GB@NO,NO,GB,Q,Undisclosed,,WR/FLEX
63499-95031,WR,Isaiah,Isaiah McKoy,McKoy,,,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-31561,WR,Donte,Donte Moncrief,Moncrief,0.400000016,6,4500,JAC@HOU,HOU,JAC,Q,Undisclosed,,WR/FLEX
63499-41806,WR,Laquon,Laquon Treadwell,Treadwell,3.979999924,5,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-56142,WR,Juwann,Juwann Winfree,Winfree,,,4500,GB@NO,GB,NO,,,,WR/FLEX
63499-64350,WR,Jeff,Jeff Smith,Smith,3.150000095,8,4500,NYJ@CAR,NYJ,CAR,,,,WR/FLEX
63499-70501,RB,C.J.,C.J. Ham,Ham,1.954545455,11,4500,MIN@CIN,MIN,CIN,,,,RB/FLEX
63499-64357,WR,Michael,Michael Walker,Walker,0,2,4500,PHI@ATL,PHI,ATL,IR,Undisclosed,,WR/FLEX
63499-72552,WR,Branden,Branden Mack,Mack,,,4500,DEN@NYG,DEN,NYG,,,,WR/FLEX
63499-31602,WR,Fred,Fred Brown,Brown,0,1,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,,,4500,PIT@BUF,BUF,PIT,Q,Knee,,WR/FLEX
63499-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.055555556,9,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-27527,TE,Blake,Blake Jarwin,Jarwin,0.850000024,2,4500,DAL@TB,DAL,TB,,,,TE/FLEX
